Ragione sociale;ID;Indirizzo sede legale - Regione;ROA;EBITDA/V;ILG;CCN/ATT;IND_FIN;INT_TERZI
RESEARCH AND INNOVATION FOR VALUE S.R.L. IN BREVE RI4VALUE S.R.L.;ID01_19;Calabria;0.003622142;0.007394351;1.056195944;0.050422074;0.093325515;0.104012292
DIGITAL TOPICS S.R.L.;ID02_19;Lazio;0.012705927;0.011044383;1.017149189;0.016841192;0.013612082;0.013861024
BTOCODE S.R.L START-UP COSTITUITA A NORMA DELL'ART. 4 COMMA 10 BIS DEL DECRETO LEGGE 24 GENNAIO 2015. N. 3;ID03_19;Abruzzo;0.129125934;0.366567888;1.210053609;0.106941185;0.209628174;0.276776264
BUSINESS FOLLOWS SRL;ID04_19;Lazio;0.277842429;0.487895625;8.560774818;0.616253782;0.80227851;4.117634561
3BEE S.R.L.;ID05_19;Lombardia;0.085437568;0.724655798;2.226639214;0.407663156;0.230310104;0.353829499
K-DIGITALE S.R.L.;ID06_19;Umbria;0.022042709;0.151446346;1.4555756;0.219466269;0.206319637;0.354306077
MEGARIDE S.R.L.;ID07_19;Campania;0.122611372;0.165543725;5.134406545;0.721283784;0.495472819;2.840055623
ANOTHEREALITY S.R.L.;ID08_19;Lombardia;0.165697944;0.173743032;2.369322421;0.547154371;0.579319606;1.449819953
FINDYNAMIC S.R.L.;ID09_19;Lombardia;0.005750235;0.05362803;6.342458404;0.415962512;0.794161164;4.054387658
PHARMACARE S.R.L.;ID10_19;Lombardia;-0.556232881;-21.29347699;1.679924737;0.196860163;0.694951447;2.400255456
NACON STUDIO MILAN S.R.L;ID11_19;Lombardia;-0.265122134;0.402007747;2.022936299;0.290597249;0.112474209;0.12808493
GRAMMELOT S.R.L.;ID12_19;Lombardia;0.036728277;0.048483344;1.322314387;0.225627808;0.144444317;0.206341949
INNOVATIVE ANT SOCIETA' A RESPONSABILITA' LIMITATA;ID13_19;Puglia;0.064915955;0.139360012;0.687757136;-0.178934388;0.127972927;0.223314444
TECH ENGINES S.R.L.;ID14_19;Toscana;0.000170724;0.040109589;11.58322248;0.327809451;0.930408947;21.6922797
SWEEXO S.R.L.;ID15_19;Piemonte;-0.097553218;0.002974542;0.898552163;-0.084724685;0.129411615;0.154955175
INNOVATICS S.R.L.;ID16_19;Campania;0.014823493;0.032812639;1.344053253;0.240264742;0.255783032;0.366275066
